"blockcode","maxdown","num_providers"
"310019659001035",940,1
"310019659001036",940,1
"310019659001037",940,1
"310019659001038",940,2
"310019659001039",940,1
"310019659001040",940,1
"310019659001041",940,1
"310019659001042",940,2
"310019659001043",940,2
"310019659001044",940,1
"310019659001045",940,1
"310019659001046",940,1
"310019659001047",1000,2
"310019659001048",1000,3
"310019659001049",1000,3
"310019659001050",1000,3
"310019659001051",1000,3
"310019659001052",940,2
"310019659001053",1000,1
"310019659001054",1000,3
"310019659001056",1000,2
"310019659001057",1000,2
"310019659001058",1000,3
"310019659001059",1000,3
"310019659001060",940,1
"310019659001061",1000,2
"310019659001062",1000,3
"310019659001063",940,1
"310019659001064",1000,3
"310019659001065",1000,2
"310019659001066",940,1
"310019659002000",1000,2
"310019659002001",1000,2
"310019659002002",1000,3
"310019659002003",1000,3
"310019659002004",1000,3
"310019659002005",1000,3
"310019659002006",1000,3
"310019659002007",1000,3
"310019659002008",1000,3
"310019659002009",1000,3
"310019659002010",1000,3
"310019659002011",1000,3
"310019659002012",1000,2
"310019659002013",1000,2
"310019659002014",1000,2
"310019659002015",1000,2
"310019659002016",1000,3
"310019659002017",1000,3
"310019659002018",1000,2
"310019659002019",1000,3
"310019659002020",1000,3
"310019659002021",1000,2
"310019659002022",1000,3
"310019659002023",1000,2
"310019659002024",1000,2
"310019659002025",1000,3
"310019659002026",1000,2
"310019659002027",1000,2
"310019659002028",1000,2
"310019659002029",1000,2
"310019659002030",1000,2
"310019659002031",1000,2
"310019659002032",1000,3
"310019659002033",1000,2
"310019659002034",1000,3
"310019659002035",1000,2
"310019659002036",1000,2
"310019659002037",1000,2
"310019659002038",1000,2
"310019659002039",1000,3
"310019659002040",1000,2
"310019659002041",1000,3
"310019659002042",1000,3
"310019659002043",1000,3
"310019659002044",1000,3
"310019659002045",1000,3
"310019659002046",1000,2
"310019659002047",1000,2
"310019659002048",1000,2
"310019659002049",1000,3
"310019659002050",1000,2
"310019659002051",1000,3
"310019659002052",1000,2
"310019659003000",1000,3
"310019659003001",1000,3
"310019659003002",940,1
"310019659003003",1000,3
"310019659003004",1000,3
"310019659003005",1000,3
"310019659003006",1000,2
"310019659003007",1000,3
"310019659003008",1000,3
"310019659003009",1000,3
"310019659003010",1000,3
"310019659003011",1000,3
"310019659003012",1000,3
"310019659003013",1000,2
"310019659003014",1000,3
"310019659003015",1000,3
"310019659003016",1000,3
"310019659003017",1000,2
"310019659003018",1000,3
"310019659003019",1000,3
"310019659003020",1000,2
"310019659003021",1000,3
"310019659003022",1000,3
"310019659004000",1000,3
"310019659004001",1000,3
"310019659004002",940,2
"310019659004003",940,2
"310019659004004",940,2
"310019659004005",940,2
"310019659004006",940,2
"310019659004007",1000,3
"310019659004008",1000,3
"310019659004009",940,2
"310019659004010",1000,3
"310019659004011",1000,3
"310019659004012",1000,3
"310019659004013",1000,3
"310019659004014",1000,3
"310019659004015",940,2
"310019659004016",1000,3
"310019659004017",1000,3
"310019659004018",1000,3
"310019659004019",1000,3
"310019659004020",940,1
"310019659004021",940,1
"310019659004022",940,1
"310019659004023",940,2
"310019659004024",940,1
"310019659004025",940,1
"310019659004026",940,1
"310019659004027",940,2
"310019659004028",940,1
"310019659004029",1000,3
"310019659004030",1000,3
"310019659004035",940,1
"310019659004036",1000,2
"310019659004037",940,1
"310019659004038",940,2
"310019659004039",940,1
"310019659004040",940,1
"310019659004041",940,1
"310019659004042",940,1
"310019659004043",940,1
"310019659004047",940,1
"310019659004058",940,1
"310019659004059",1000,3
"310019660001000",940,1
"310019660001001",940,2
"310019660001002",940,1
"310019660001003",940,1
"310019660001004",940,1
"310019660001005",1000,3
"310019660001006",1000,3
"310019660001007",940,2
"310019660001008",940,2
"310019660001009",940,2
